,precipitations,max_temperature,min_temperature,avg_temperature,max_humidity,min_humidity,avg_humidity,avg_scalar_wind,loss from fires,total gain,total loss,total agriculture,year,net diff,total forest
precipitations,1.0,-0.22193899356086166,0.36019597448103535,0.08440529756173505,0.6886571157077035,0.7370074680494917,0.676318001321335,0.42313826732225274,-0.09281073950025075,-0.4470294276292479,-0.11061031111300701,0.11899812879017231,0.0457276039789382,-0.2492831852124596,-0.3531356814187118
max_temperature,-0.22193899356086166,1.0,0.6040377596203016,0.8726268541823037,-0.5824679263027154,-0.5961084743081352,-0.2768694193494845,0.0007913110266052334,0.4791185996729717,0.1823323271970095,-0.45851267958431385,0.32845656551685626,0.3363990190717278,0.37786906189466907,0.06846295305328547
min_temperature,0.36019597448103535,0.6040377596203016,1.0,0.8694523214297117,0.14786908080191652,0.170677690785802,0.36736500754315526,0.4009887959671242,0.1077405896025162,-0.09676349822447596,-0.3835988431229507,0.33524616128241513,0.2563332634728355,0.16344871762935698,-0.27729182350472187
avg_temperature,0.08440529756173505,0.8726268541823037,0.8694523214297117,1.0,-0.2580544020991738,-0.21412674907923407,0.012348084141644967,0.18653262130763654,0.2938279319705439,-0.012797204390865825,-0.378250110530253,0.28814101181042584,0.24339444618150913,0.21214589642572151,-0.04474838697017198
max_humidity,0.6886571157077035,-0.5824679263027154,0.14786908080191652,-0.2580544020991738,1.0,0.9235082296989982,0.8424010714477702,0.2618542896572151,-0.5402136014674678,-0.2851900010573975,0.11974695067681697,-0.12044364345821501,-0.22066843297475752,-0.24712675550659402,-0.2842969253283507
min_humidity,0.7370074680494917,-0.5961084743081352,0.170677690785802,-0.21412674907923407,0.9235082296989982,1.0,0.7776631190056655,0.3700611677897679,-0.49705676486097256,-0.3547244344859151,0.2159626310827853,-0.08433064927525288,-0.1802337694579597,-0.35147099507896506,-0.3751634839634316
avg_humidity,0.676318001321335,-0.2768694193494845,0.36736500754315526,0.012348084141644967,0.8424010714477702,0.7776631190056655,1.0,0.36927434788171054,-0.37284415251530495,-0.16691896709963297,-0.25706390433338405,0.050168490443277404,-0.09150432471245537,0.06245424148237375,-0.2413140469850703
avg_scalar_wind,0.42313826732225274,0.0007913110266052334,0.4009887959671242,0.18653262130763654,0.2618542896572151,0.3700611677897679,0.36927434788171054,1.0,0.24584212829295857,0.03909668518147919,-0.30508726981366985,0.7582065054138719,0.6854936120810274,0.1893282260139862,-0.6919534589344873
loss from fires,-0.09281073950025075,0.4791185996729717,0.1077405896025162,0.2938279319705439,-0.5402136014674678,-0.49705676486097256,-0.37284415251530495,0.24584212829295857,1.0,-0.073964815139532,-0.41051331719106227,0.566683240901881,0.6375993605495918,0.16793202694719506,-0.08971590799288937
total gain,-0.4470294276292479,0.1823323271970095,-0.09676349822447596,-0.012797204390865825,-0.2851900010573975,-0.3547244344859151,-0.16691896709963297,0.03909668518147919,-0.073964815139532,1.0,-0.30388568899938667,0.30074769365376675,0.30233007038989035,0.8426092273154145,-0.04258765303232128
total loss,-0.11061031111300701,-0.45851267958431385,-0.3835988431229507,-0.378250110530253,0.11974695067681697,0.2159626310827853,-0.25706390433338405,-0.30508726981366985,-0.41051331719106227,-0.30388568899938667,1.0,-0.6069182983859335,-0.5841112211294335,-0.7713987791991459,-0.03347651820678609
total agriculture,0.11899812879017231,0.32845656551685626,0.33524616128241513,0.28814101181042584,-0.12044364345821501,-0.08433064927525288,0.050168490443277404,0.7582065054138719,0.566683240901881,0.30074769365376675,-0.6069182983859335,1.0,0.9807354022739592,0.5443221375460628,-0.5823234645576443
year,0.0457276039789382,0.3363990190717278,0.2563332634728355,0.24339444618150913,-0.22066843297475752,-0.1802337694579597,-0.09150432471245537,0.6854936120810274,0.6375993605495918,0.30233007038989035,-0.5841112211294335,0.9807354022739592,1.0,0.5371590780680588,-0.5200631042962376
net diff,-0.2492831852124596,0.37786906189466907,0.16344871762935698,0.21214589642572151,-0.24712675550659402,-0.35147099507896506,0.06245424148237375,0.1893282260139862,0.16793202694719506,0.8426092273154145,-0.7713987791991459,0.5443221375460628,0.5371590780680588,1.0,0.0313202251922369
total forest,-0.3531356814187118,0.06846295305328547,-0.27729182350472187,-0.04474838697017198,-0.2842969253283507,-0.3751634839634316,-0.2413140469850703,-0.6919534589344873,-0.08971590799288937,-0.04258765303232128,-0.03347651820678609,-0.5823234645576443,-0.5200631042962376,0.0313202251922369,1.0
