"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ARG",14,2001,1998.67301613856786364,917318.675549748722138
"ARG",14,2002,2905.71312529651412603,1341741.90629476398132
"ARG",14,2003,3868.01880340440756651,1858824.483266461878145
"ARG",14,2004,6180.29862407743400518,3060051.270232448608313
"ARG",14,2005,5463.28168724961662922,2496757.983530029422377
"ARG",14,2006,6673.59226405619176552,3013894.919207780345207
"ARG",14,2007,5655.12041849003912701,2599637.093356785128731
"ARG",14,2008,7808.23490664697573443,3581832.547584730630176
"ARG",14,2009,3871.10911271835102766,1769308.256398580235680
"ARG",14,2010,3422.25038090242503584,1586396.688835882254634
"ARG",14,2011,3834.29416385282246638,1767452.635469756389734
"ARG",14,2012,4438.59418163263450170,2019440.673040863514352
"ARG",14,2013,3614.87541056617575378,1687876.706843681291917
"ARG",14,2014,3691.76056697837227690,1790889.011839675786390
"ARG",14,2015,2383.83401331378310382,1149323.681435478048519
"ARG",14,2016,5769.64267291480739819,2728555.857269138070167
"ARG",14,2017,8762.19406206986553405,3868429.810098017584284
"ARG",14,2018,4099.05147701846620581,1868175.529946168941183
"ARG",14,2019,4946.09583656284871589,2357345.416243710575097
"ARG",14,2020,5844.42292021500995440,2545511.620835143776579
"ARG",14,2021,5611.23413897377417038,2560891.247679883215418
"ARG",14,2022,11161.15242596110951983,4376459.866635954836003
"ARG",14,2023,3366.62412016260226127,1563249.449298025090453
