system:index,año,ganancia,pérdida,.geo
0,2001.0,28004.812819305633,37254.48454406499,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2002.0,24804.38652608238,33858.178695827846,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2003.0,28673.63915823472,39715.27181819568,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2004.0,37178.180089116446,47297.18154166173,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2005.0,30224.062865627802,46487.779923292066,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2006.0,43289.298014174514,35970.0041135914,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2007.0,25988.257947528862,38704.809871178746,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2008.0,27841.402886508047,57799.89247816926,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2009.0,29593.956948671585,42734.12532589554,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2010.0,39947.12297603271,44870.527826871046,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2011.0,39545.86702626692,43400.6763445217,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2012.0,34607.17343658306,49961.28880587359,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2013.0,55556.47563831725,39053.24735632968,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2014.0,26381.341954724623,37938.08695329484,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2015.0,33851.88735644263,29494.537656998265,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2016.0,24606.251445417045,31211.795672947614,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2017.0,26834.2583579445,31790.705165447478,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2018.0,46707.31509849938,27650.59813671726,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2019.0,38071.66244254809,29407.53430127841,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020.0,42470.31197746216,17733.932780592044,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021.0,64570.78459763661,24067.403159467798,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022.0,18879.740771983452,35414.03347917653,"{""type"":""MultiPoint"",""coordinates"":[]}"
