"year","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"natural woody","1837489.8688039482","1807124.8758772232","1788910.3984733978","1782376.3278905274","1782478.590802868","1774953.5303790201","1771108.6494445717","1761418.3117205484","1770922.8391696305","1760068.1181629926","1736060.9138269122","1732085.7822423289","1732064.4871275916","1730156.0299642533","1712672.6610165813","1726820.9748092918","1718648.472756793","1724740.1226083278","1719663.9842981494","1716555.6379016975","1718964.1878510553","1724988.6931685654","1748338.7783679613","1787234.3391366564","1776976.4893928256"
"natural non-woody","160706.19452157666","161250.07098755255","153652.5562932831","150934.9802045675","141777.7828052664","138261.24677705276","131986.68201251575","125415.92935376904","123237.65037890554","121377.02739004335","115429.0547591056","106264.23509320103","101364.4343128471","99420.01690454085","101551.72683378543","103910.49659470466","100529.98181790221","98797.35532576212","97273.57821704807","95427.11467506127","112074.11348216455","114714.24675332119","116101.40272142134","117710.17248760331","111431.53997379601"
"pasture","59972.61471855153","58178.09164566707","57116.86377894932","57114.74504442758","58848.20843972813","61384.9348122194","60158.72138929452","61697.8829094421","61927.174196826396","59368.8210315798","59823.127792700325","60468.47129880395","62809.828018878354","62247.153825476504","60464.10252622683","61910.68010745864","65675.6808659667","69764.99023046276","73273.3577712216","77557.29958566252","82736.3165149538","86643.78411950283","91732.50209022549","105814.44013140662","109151.6686833661"
"cultivation","25113.487207090962","37009.87096667346","25588.296859258073","24554.799166594497","20647.353068810055","22673.516337248806","25014.05401514183","27078.85980942893","29268.772731804398","29068.725278319514","25263.063427867775","19894.74610021879","22203.347354405847","18036.994277129095","22204.806004948976","30622.238508983635","25712.07483959281","25902.229498497756","26288.290793407516","26598.294063866568","30836.512060985642","41277.6249448482","38162.20411542364","45234.57380476073","41544.42968278243"
"forest plantations","199444.04537126803","200313.83683141618","199732.39885918546","202632.58723215532","203607.1353199089","208429.50943327695","212427.76980009058","216802.35245107106","222755.21882690804","230040.3766747704","241600.34085900488","249517.58201423276","267417.8722099563","287812.99724437547","302432.58382980904","312019.35780738376","324209.2934334712","330067.5413796981","331653.71316261933","333589.6135941029","337810.75809802423","332212.2684394869","316382.223786772","300395.950688986","303117.8459098095"
"3.4. Cultivo arbustivo","634479.1278897504","649661.181316626","689679.566205449","696256.5753788267","710633.918583427","714368.0312238919","718806.5705221985","725988.5567220254","706163.3951098642","714625.6765241527","740969.7180325114","750242.270292541","729830.6593707901","716161.9413313357","714980.8597884817","675965.9692858836","676491.6897384947","661297.1715934309","662029.6027349664","659179.3265481238","626368.38222273","607730.5156540527","593020.1953247722","538479.1904989835","554192.7833575968"
"3.5. Mosaico agropecuario","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Área sin vegetación","33829.09041211568","38057.185198314444","36847.48616597826","37710.06622002507","33630.418893926835","31519.38050040262","32167.966958654462","33278.047801281486","37426.828479736316","36954.9601780211","31986.331620672234","32353.96747371179","31847.550797723106","31774.56173988008","30736.487092077386","34121.64743233633","34059.7962514401","34632.19361618619","35213.93204274267","36495.95076695524","36756.12277728247","37976.50051500226","41992.47671738252","51160.96491397653","50058.5147962761"
"5. Cuerpo de agua","39646.065136206074","39085.38123701799","39152.92742496355","39100.412923333955","39057.08614650295","39090.344597375784","39010.079917999516","39000.55329288957","38978.61516680314","39176.78882065452","39547.943741754294","39853.43954545914","43142.31486829796","45070.79877347339","45637.26696856648","45309.12951441616","45353.5043567685","45478.88980811125","45284.0350402891","45277.256924987676","45134.101053301994","45136.86046570403","44950.71093650443","44650.86239802781","44207.222263970405"
"6. No observado","12.825672772216802","12.825672772216803","12.825672772216802","12.825672772216802","12.825672772216802","12.825672772216798","12.825672772216802","12.825672772216803","12.825672772216803","12.825672772216803","12.825672772216802","12.825672772216802","12.825672772216803","12.825672772216803","12.825672772216802","12.825672772216803","12.825672772216803","12.825672772216802","12.825672772216803","12.825672772216803","12.825672772216802","12.825672772216803","12.825672772216803","12.825672772216803","12.825672772216802"
