iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ARG,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.522558,
ARG,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,21909972.890786774,tonnes,annual,2023-10-03 21:10:31.522543,
ARG,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,21909972.890786774,tonnes,annual,2023-10-03 21:10:31.522583,
ARG,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,21909972.890786774,tonnes,annual,2023-10-03 21:10:31.522598,
ARG,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.522569,
ARG,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.699278,
ARG,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,-12631937.440592082,tonnes,annual,2023-10-03 21:10:31.699267,
ARG,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-12631937.440592082,tonnes,annual,2023-10-03 21:10:31.699295,
ARG,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,-12631937.440592082,tonnes,annual,2023-10-03 21:10:31.699303,
ARG,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.699286,
ARG,forestry-and-land-use,net-forest-land,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.866566,
ARG,forestry-and-land-use,net-forest-land,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,29943874.48679481,tonnes,annual,2023-10-03 21:10:31.866556,
